Index;year_date_naissance;sexe;Revenus K;Enfant ?;Conduite accompagnée ?;usage_vehicule;type_vehicule;Rouge ?;points_perdus;age_vehicule;type_conduite;mm_yy_date_demande;formule;Tarif
42;1937;F;-25K;VRAI;FAUX;Private;SUV;FAUX;5;8; Urban;01/04/2022;express;200-299
43;1963;M;-25K;VRAI;FAUX;Commercial;Pickup;VRAI;0;10; Urban;01/03/2022;express;200-299
44;1965;F;50K-75K;VRAI;VRAI;Private;Pickup;VRAI;0;; Urban;01/04/2022;premium;400-499
45;1970;M;75K-100K;FAUX;FAUX;Private;SUV;FAUX;0;13; Urban;01/01/2022;integral;300-399
46;1957;F;75K-100K;FAUX;FAUX;Private;SUV;FAUX;4;15; Urban;01/02/2022;express;200-299
47;1946;M;-25K;VRAI;FAUX;Private;SUV;FAUX;1;1; Urban;01/04/2022;express;200-299
48;1981;F;125K-150K;FAUX;FAUX;Commercial;Panel Truck;VRAI;1;13; Urban;01/02/2022;integral;300-399
49;1945;M;75K-100K;FAUX;FAUX;Commercial;Van;VRAI;0;7; Urban;01/03/2022;integral;200-299
50;1984;F;50K-75K;VRAI;VRAI;Private;Van;VRAI;1;1; Rural;01/04/2022;integral;200-299
51;1998;F;25K-50K;FAUX;FAUX;Commercial;Pickup;VRAI;7;1; Urban;01/03/2022;integral;300-399
52;1974;F;25K-50K;VRAI;FAUX;Private;Minivan;FAUX;1;5; Urban;01/03/2022;express;200-299
53;2003;M;100K-125K;FAUX;FAUX;Private;Minivan;FAUX;0;7; Urban;01/05/2022;express;200-299
54;1975;F;50K-75K;FAUX;FAUX;Private;Sports Car;FAUX;0;19; Urban;01/05/2022;express;200-299
55;2016;F;75K-100K;FAUX;FAUX;Commercial;Minivan;FAUX;5;8; Rural;01/04/2022;express;200-299
56;1974;M;75K-100K;FAUX;FAUX;Private;Van;FAUX;0;13; Urban;01/01/2022;premium;300-399
57;1967;F;25K-50K;VRAI;FAUX;Commercial;Van;VRAI;4;9; Urban;01/05/2022;integral;200-299
58;1990;M;50K-75K;FAUX;FAUX;Private;SUV;FAUX;2;12; Urban;01/04/2022;express;200-299
59;1950;F;25K-50K;VRAI;VRAI;Private;Van;VRAI;0;1; Urban;01/01/2022;express;200-299
60;1992;F;25K-50K;VRAI;VRAI;Private;Sports Car;FAUX;1;7; Urban;01/04/2022;express;200-299
61;1950;F;75K-100K;FAUX;FAUX;Private;Minivan;FAUX;0;16; Urban;01/03/2022;integral;200-299
62;1968;F;25K-50K;FAUX;FAUX;Private;Pickup;FAUX;0;8; Urban;01/04/2022;express;200-299
63;1952;F;50K-75K;VRAI;FAUX;Commercial;Van;FAUX;0;5; Urban;01/05/2022;integral;200-299
64;1942;F;25K-50K;VRAI;FAUX;Private;Sports Car;FAUX;0;1; Urban;01/05/2022;express;200-299
65;2019;F;-25K;FAUX;FAUX;Private;SUV;FAUX;0;6; Urban;01/04/2022;integral;200-299
66;1972;M;50K-75K;FAUX;FAUX;Private;SUV;FAUX;5;1; Urban;01/05/2022;express;200-299
67;1954;M;75K-100K;FAUX;FAUX;Private;Pickup;FAUX;0;7; Urban;01/05/2022;express;200-299
68;1972;M;-25K;FAUX;FAUX;Private;Minivan;FAUX;3;5; Rural;01/05/2022;express;200-299
69;1950;M;-25K;VRAI;FAUX;Private;SUV;VRAI;2;13; Urban;01/04/2022;express;200-299
70;1999;F;75K-100K;FAUX;FAUX;Commercial;Pickup;FAUX;1;3; Urban;01/01/2022;integral;300-399
71;2019;F;75K-100K;FAUX;FAUX;Private;SUV;FAUX;0;9; Urban;01/01/2022;integral;300-399
72;1988;M;175K-200K;FAUX;FAUX;Private;SUV;FAUX;2;12; Urban;01/01/2022;express;200-299
73;2013;M;75K-100K;FAUX;FAUX;Private;Minivan;VRAI;2;9; Urban;01/04/2022;integral;200-299
74;1943;F;75K-100K;VRAI;FAUX;Private;Minivan;FAUX;2;9; Rural;01/02/2022;premium;400-499
75;1944;M;25K-50K;FAUX;FAUX;Private;Pickup;FAUX;0;8; Urban;01/01/2022;express;200-299
76;1993;F;100K-125K;FAUX;FAUX;Private;SUV;FAUX;1;18; Urban;01/04/2022;integral;300-399
77;1950;F;50K-75K;FAUX;FAUX;Commercial;Minivan;FAUX;5;1; Urban;01/05/2022;express;200-299
78;1971;M;25K-50K;FAUX;FAUX;Commercial;Panel Truck;FAUX;4;11; Urban;01/01/2022;premium;300-399
79;1970;F;25K-50K;FAUX;FAUX;Private;Minivan;FAUX;4;6; Urban;01/02/2022;express;200-299
80;1962;M;100K-125K;FAUX;FAUX;Private;Minivan;VRAI;1;1; Urban;01/04/2022;premium;300-399
81;1940;M;-25K;FAUX;FAUX;Private;Sports Car;FAUX;0;3; Rural;01/01/2022;express;200-299
82;1959;M;100K-125K;FAUX;FAUX;Commercial;Van;VRAI;0;8; Rural;01/02/2022;express;200-299
83;1959;F;25K-50K;VRAI;FAUX;Commercial;SUV;FAUX;0;4; Urban;01/04/2022;express;200-299
84;1959;M;-25K;FAUX;FAUX;Private;Sports Car;FAUX;1;; Rural;01/05/2022;express;200-299
85;1961;M;50K-75K;FAUX;FAUX;Commercial;Pickup;VRAI;2;8; Urban;01/01/2022;express;200-299
86;1982;M;25K-50K;FAUX;FAUX;Private;Minivan;VRAI;0;9; Urban;01/03/2022;express;200-299
87;1970;M;;FAUX;FAUX;Private;Minivan;FAUX;0;17; Urban;01/01/2022;premium;400-499
88;2001;F;-25K;VRAI;VRAI;Private;SUV;FAUX;0;1; Rural;01/05/2022;express;200-299
89;1974;M;25K-50K;FAUX;FAUX;Private;Minivan;FAUX;0;13; Urban;01/02/2022;premium;500-599
90;1965;M;25K-50K;VRAI;FAUX;Private;Sports Car;FAUX;0;2; Rural;01/01/2022;integral;200-299
91;1943;M;50K-75K;FAUX;FAUX;Commercial;Minivan;FAUX;3;1; Urban;01/04/2022;express;200-299
92;2012;F;-25K;VRAI;FAUX;Private;Minivan;FAUX;1;1; Urban;01/03/2022;premium;300-399
93;2018;F;75K-100K;FAUX;FAUX;Private;Sports Car;FAUX;6;1; Urban;01/02/2022;premium;400-499
94;1961;M;50K-75K;FAUX;FAUX;Private;Van;VRAI;0;1; Urban;01/01/2022;express;200-299
95;1953;F;50K-75K;FAUX;FAUX;Private;Pickup;FAUX;4;11; Urban;01/04/2022;integral;200-299
96;1972;F;25K-50K;FAUX;FAUX;Commercial;Pickup;VRAI;1;5; Rural;01/01/2022;integral;300-399
97;1962;M;25K-50K;FAUX;FAUX;Private;Minivan;FAUX;7;1; Urban;01/03/2022;express;200-299
98;1987;F;50K-75K;VRAI;VRAI;Private;Minivan;VRAI;0;6; Urban;01/04/2022;integral;200-299
99;1981;M;50K-75K;VRAI;FAUX;Private;Van;VRAI;1;8; Urban;01/05/2022;integral;300-399
100;2004;M;50K-75K;FAUX;FAUX;Commercial;SUV;FAUX;0;1; Urban;01/02/2022;integral;300-399
101;1957;M;-25K;VRAI;FAUX;Commercial;Pickup;FAUX;2;12; Urban;01/02/2022;integral;300-399
102;2000;F;50K-75K;VRAI;FAUX;Private;Minivan;FAUX;0;1; Urban;01/01/2022;integral;300-399
103;1971;M;100K-125K;FAUX;FAUX;Private;Minivan;FAUX;6;11; Urban;01/01/2022;integral;300-399
104;2013;M;200K-225K;FAUX;FAUX;Commercial;Panel Truck;VRAI;4;17; Urban;01/01/2022;express;200-299
105;1962;M;50K-75K;FAUX;FAUX;Private;Minivan;VRAI;1;12; Urban;01/05/2022;premium;400-499
106;1999;M;;VRAI;FAUX;Commercial;Panel Truck;VRAI;0;14; Urban;01/03/2022;integral;200-299
107;1951;F;-25K;VRAI;VRAI;Private;Minivan;FAUX;0;5; Urban;01/01/2022;integral;300-399
108;1983;M;50K-75K;VRAI;FAUX;Commercial;Minivan;VRAI;1;12; Rural;01/03/2022;integral;300-399
109;1965;F;125K-150K;VRAI;FAUX;Private;Minivan;VRAI;5;11; Urban;01/01/2022;express;200-299
110;1932;M;-25K;FAUX;FAUX;Private;SUV;FAUX;0;9; Urban;01/04/2022;premium;300-399
111;1970;M;50K-75K;FAUX;FAUX;Commercial;SUV;FAUX;0;9; Urban;01/01/2022;integral;200-299
112;1968;M;100K-125K;VRAI;VRAI;Commercial;Minivan;FAUX;0;12; Urban;01/05/2022;express;200-299
113;1954;M;-25K;VRAI;FAUX;Private;SUV;FAUX;0;8; Urban;01/03/2022;express;200-299
114;1958;F;25K-50K;VRAI;FAUX;Commercial;Minivan;FAUX;2;6; Urban;01/03/2022;express;200-299
115;1967;F;75K-100K;FAUX;FAUX;Private;SUV;FAUX;0;14; Urban;01/01/2022;premium;300-399
116;1971;F;-25K;VRAI;VRAI;Private;Minivan;FAUX;0;1; Rural;01/01/2022;premium;400-499
117;1945;F;25K-50K;VRAI;VRAI;Private;Sports Car;FAUX;0;11; Rural;01/01/2022;express;200-299
118;1961;F;-25K;VRAI;VRAI;Private;Pickup;FAUX;0;7; Urban;01/01/2022;integral;300-399
119;2014;M;50K-75K;VRAI;VRAI;Commercial;Sports Car;FAUX;2;1; Urban;01/05/2022;integral;300-399
120;2019;M;75K-100K;FAUX;FAUX;Private;Minivan;FAUX;0;15; Urban;01/05/2022;integral;300-399
121;1953;M;-25K;FAUX;FAUX;Private;SUV;FAUX;0;13; Rural;01/02/2022;integral;300-399
122;1966;M;75K-100K;VRAI;FAUX;Private;Minivan;VRAI;2;11; Urban;01/02/2022;express;200-299
123;1953;M;100K-125K;FAUX;FAUX;Private;SUV;FAUX;0;12; Urban;01/05/2022;integral;300-399
124;1974;F;50K-75K;FAUX;FAUX;Private;Pickup;VRAI;0;11; Urban;01/01/2022;integral;300-399
125;1994;F;25K-50K;VRAI;FAUX;Private;Van;FAUX;4;9; Urban;01/01/2022;integral;300-399
126;1990;M;75K-100K;FAUX;FAUX;Private;Minivan;FAUX;0;8; Urban;01/04/2022;integral;200-299
127;1954;M;100K-125K;FAUX;FAUX;Private;Minivan;FAUX;2;1; Urban;01/04/2022;integral;200-299
128;2006;M;-25K;FAUX;FAUX;Commercial;Minivan;VRAI;7;1; Rural;01/03/2022;express;200-299
129;2002;M;50K-75K;FAUX;FAUX;Commercial;Sports Car;FAUX;1;; Urban;01/04/2022;premium;500-599
130;1964;M;125K-150K;FAUX;FAUX;Private;Minivan;FAUX;1;13; Urban;01/04/2022;express;200-299
131;1953;F;-25K;VRAI;FAUX;Private;Sports Car;FAUX;0;13; Urban;01/02/2022;express;200-299
132;1952;F;25K-50K;VRAI;FAUX;Private;Minivan;FAUX;8;9; Urban;01/05/2022;vip;600-699
133;2014;M;-25K;VRAI;FAUX;Private;SUV;FAUX;0;1; Rural;01/03/2022;express;200-299
134;1967;M;25K-50K;FAUX;FAUX;Private;Minivan;VRAI;3;5; Urban;01/02/2022;express;200-299
135;2018;F;25K-50K;VRAI;VRAI;Private;SUV;FAUX;0;9; Urban;01/04/2022;integral;200-299
136;1932;F;75K-100K;VRAI;FAUX;Private;Minivan;FAUX;0;16; Urban;01/05/2022;integral;300-399
137;2011;M;25K-50K;FAUX;FAUX;Commercial;Van;VRAI;2;15; Urban;01/03/2022;integral;300-399
138;1987;M;125K-150K;VRAI;VRAI;Commercial;Van;FAUX;4;9; Urban;01/05/2022;express;200-299
139;1971;M;25K-50K;VRAI;FAUX;Commercial;SUV;FAUX;4;1; Urban;01/05/2022;express;200-299
140;1977;F;;VRAI;FAUX;Private;Sports Car;FAUX;6;7; Urban;01/04/2022;premium;500-599
141;1972;M;75K-100K;FAUX;FAUX;Commercial;Sports Car;FAUX;2;9; Urban;01/03/2022;integral;300-399
142;1971;F;100K-125K;FAUX;FAUX;Private;Minivan;FAUX;0;9; Urban;01/02/2022;integral;200-299
143;2017;F;125K-150K;VRAI;FAUX;Private;Pickup;VRAI;0;12; Urban;01/01/2022;integral;300-399
144;1941;M;25K-50K;FAUX;FAUX;Private;SUV;FAUX;5;15; Urban;01/02/2022;premium;500-599
145;1936;M;-25K;VRAI;FAUX;Commercial;SUV;FAUX;7;; Urban;01/05/2022;express;200-299
146;1972;M;25K-50K;FAUX;FAUX;Private;SUV;FAUX;2;11; Urban;01/05/2022;express;200-299
147;1961;M;75K-100K;FAUX;FAUX;Private;SUV;FAUX;0;7; Urban;01/02/2022;integral;300-399
148;1982;M;-25K;VRAI;VRAI;Private;SUV;FAUX;1;10; Rural;01/04/2022;integral;200-299
149;1951;F;75K-100K;FAUX;FAUX;Private;SUV;FAUX;0;19; Urban;01/03/2022;integral;200-299
150;1947;F;75K-100K;FAUX;FAUX;Private;Minivan;FAUX;0;15; Rural;01/02/2022;express;200-299
151;1946;M;25K-50K;FAUX;FAUX;Private;Minivan;FAUX;0;10; Urban;01/02/2022;integral;300-399
152;1959;F;50K-75K;FAUX;FAUX;Private;SUV;FAUX;2;5; Urban;01/03/2022;express;200-299
153;1962;F;;VRAI;FAUX;Private;Minivan;VRAI;3;1; Urban;01/01/2022;express;200-299
154;1992;M;25K-50K;FAUX;FAUX;Private;Minivan;FAUX;1;4; Urban;01/03/2022;express;200-299
155;1948;F;25K-50K;VRAI;FAUX;Commercial;Pickup;VRAI;0;9; Rural;01/02/2022;integral;200-299
156;1941;M;125K-150K;VRAI;VRAI;Commercial;Van;VRAI;0;12; Urban;01/01/2022;integral;300-399
157;1955;F;-25K;VRAI;FAUX;Private;Sports Car;FAUX;5;4; Urban;01/04/2022;express;200-299
158;1951;M;75K-100K;FAUX;FAUX;Private;Pickup;FAUX;0;15; Urban;01/04/2022;integral;300-399
159;1939;M;100K-125K;FAUX;FAUX;Commercial;Minivan;VRAI;0;9; Rural;01/05/2022;integral;300-399
160;1958;M;75K-100K;FAUX;FAUX;Commercial;SUV;FAUX;6;1; Urban;01/02/2022;integral;200-299
161;1954;M;75K-100K;VRAI;VRAI;Private;Sports Car;FAUX;0;8; Urban;01/05/2022;integral;200-299
162;1991;M;100K-125K;FAUX;FAUX;Private;SUV;FAUX;2;12; Urban;01/03/2022;premium;400-499
163;1975;F;150K-175K;VRAI;VRAI;Private;Minivan;FAUX;1;12; Rural;01/02/2022;integral;300-399
164;1952;F;25K-50K;VRAI;FAUX;Private;Minivan;FAUX;0;14; Urban;01/04/2022;integral;300-399
165;1969;F;-25K;FAUX;FAUX;Private;Sports Car;FAUX;1;8; Rural;01/04/2022;express;200-299
166;1972;F;-25K;VRAI;VRAI;Private;Minivan;FAUX;1;1; Urban;01/04/2022;express;200-299
167;1932;F;50K-75K;VRAI;FAUX;Private;Sports Car;FAUX;0;17; Urban;01/05/2022;integral;200-299
168;2000;F;25K-50K;VRAI;FAUX;Commercial;Pickup;VRAI;0;4; Urban;01/05/2022;integral;200-299
169;1967;F;100K-125K;FAUX;FAUX;Commercial;Panel Truck;FAUX;1;; Urban;01/04/2022;integral;200-299
170;1950;F;25K-50K;FAUX;FAUX;Commercial;SUV;FAUX;2;11; Urban;01/05/2022;integral;300-399
171;1984;M;75K-100K;VRAI;FAUX;Private;Pickup;VRAI;1;11; Urban;01/02/2022;express;200-299
172;1994;F;-25K;FAUX;FAUX;Commercial;Minivan;FAUX;2;1; Urban;01/05/2022;integral;300-399
173;1967;M;75K-100K;FAUX;FAUX;Commercial;Minivan;FAUX;0;11; Rural;01/02/2022;integral;300-399
174;1973;F;50K-75K;VRAI;FAUX;Private;Minivan;VRAI;0;20; Urban;01/05/2022;integral;300-399
175;1970;M;-25K;FAUX;FAUX;Private;SUV;FAUX;2;1; Urban;01/04/2022;express;200-299
176;1947;M;100K-125K;FAUX;FAUX;Commercial;Pickup;FAUX;6;; Urban;01/01/2022;integral;200-299
177;1965;F;-25K;FAUX;FAUX;Commercial;Van;FAUX;0;12; Urban;01/02/2022;express;200-299
178;1993;M;;FAUX;FAUX;Private;Sports Car;FAUX;0;16; Urban;01/01/2022;express;200-299
179;1960;M;-25K;VRAI;FAUX;Private;SUV;FAUX;0;1; Rural;01/01/2022;integral;200-299
180;1968;F;25K-50K;VRAI;FAUX;Commercial;Van;VRAI;0;6; Urban;01/05/2022;premium;500-599
181;1941;F;50K-75K;FAUX;FAUX;Commercial;Pickup;FAUX;1;; Urban;01/05/2022;express;200-299
182;1998;F;25K-50K;VRAI;VRAI;Commercial;Van;FAUX;1;6; Rural;01/02/2022;express;200-299
183;1970;M;150K-175K;FAUX;FAUX;Commercial;Panel Truck;VRAI;0;13; Rural;01/01/2022;integral;300-399
184;1938;F;100K-125K;FAUX;FAUX;Private;Van;VRAI;0;10; Urban;01/01/2022;premium;300-399
185;1955;F;-25K;FAUX;FAUX;Private;Pickup;VRAI;1;1; Urban;01/05/2022;express;200-299
186;2000;M;25K-50K;VRAI;VRAI;Commercial;SUV;FAUX;6;5; Urban;01/04/2022;premium;400-499
187;1957;F;-25K;FAUX;FAUX;Private;SUV;FAUX;0;1; Urban;01/03/2022;integral;300-399
188;2003;F;-25K;VRAI;FAUX;Private;SUV;FAUX;0;9; Urban;01/05/2022;integral;300-399
189;1953;F;-25K;FAUX;FAUX;Private;SUV;FAUX;0;1; Urban;01/01/2022;premium;400-499
190;2012;F;75K-100K;FAUX;FAUX;Private;Minivan;FAUX;0;11; Urban;01/05/2022;vip;500-599
191;1975;M;75K-100K;FAUX;FAUX;Commercial;Van;VRAI;5;; Urban;01/05/2022;express;200-299
192;2017;M;25K-50K;FAUX;FAUX;Private;Sports Car;FAUX;3;1; Urban;01/01/2022;premium;400-499
193;1956;F;100K-125K;FAUX;FAUX;Private;Sports Car;FAUX;0;7; Rural;01/01/2022;integral;300-399
194;1995;F;50K-75K;FAUX;FAUX;Commercial;Panel Truck;FAUX;1;1; Urban;01/01/2022;premium;400-499
195;1972;F;175K-200K;FAUX;FAUX;Private;SUV;FAUX;0;15; Urban;01/02/2022;integral;300-399
196;1957;F;50K-75K;VRAI;FAUX;Private;Sports Car;FAUX;3;7; Urban;01/04/2022;premium;300-399
197;1969;F;50K-75K;VRAI;FAUX;Private;Minivan;FAUX;4;17; Urban;01/02/2022;express;200-299
198;1939;M;100K-125K;FAUX;FAUX;Commercial;Panel Truck;FAUX;2;13; Urban;01/04/2022;express;200-299
199;1974;F;25K-50K;VRAI;FAUX;Private;SUV;FAUX;0;4; Urban;01/05/2022;integral;300-399
200;1957;F;25K-50K;FAUX;FAUX;Commercial;Minivan;FAUX;0;; Rural;01/02/2022;express;200-299
201;2008;M;25K-50K;FAUX;FAUX;Private;Sports Car;VRAI;9;8; Urban;01/03/2022;express;200-299
202;1951;M;50K-75K;FAUX;FAUX;Commercial;Pickup;VRAI;4;7; Urban;01/05/2022;integral;300-399
203;1960;M;25K-50K;VRAI;VRAI;Commercial;Minivan;VRAI;0;1; Urban;01/04/2022;premium;400-499
204;1946;F;50K-75K;FAUX;FAUX;Commercial;SUV;FAUX;2;14; Rural;01/04/2022;premium;500-599
205;1940;M;25K-50K;VRAI;FAUX;Private;Sports Car;FAUX;3;7; Urban;01/04/2022;express;200-299
206;1972;M;50K-75K;FAUX;FAUX;Commercial;Minivan;VRAI;0;1; Urban;01/03/2022;express;200-299
207;1941;M;50K-75K;FAUX;FAUX;Commercial;Minivan;VRAI;6;; Urban;01/05/2022;integral;300-399
208;1964;M;-25K;FAUX;FAUX;Private;Minivan;FAUX;0;12; Rural;01/02/2022;express;200-299
209;1961;M;25K-50K;VRAI;VRAI;Commercial;Panel Truck;VRAI;1;8; Urban;01/04/2022;premium;500-599
210;1971;F;25K-50K;VRAI;FAUX;Private;SUV;FAUX;0;5; Rural;01/04/2022;integral;300-399
211;2004;F;50K-75K;VRAI;VRAI;Private;Minivan;FAUX;1;8; Rural;01/01/2022;integral;200-299
212;1974;F;100K-125K;FAUX;FAUX;Commercial;Panel Truck;VRAI;1;16; Urban;01/03/2022;express;200-299
213;1960;F;25K-50K;FAUX;FAUX;Private;SUV;VRAI;1;; Urban;01/05/2022;integral;200-299
214;1973;F;25K-50K;FAUX;FAUX;Commercial;Van;FAUX;1;5; Urban;01/01/2022;express;200-299
215;1966;M;25K-50K;VRAI;FAUX;Commercial;Van;FAUX;5;; Urban;01/02/2022;integral;200-299
216;1959;M;100K-125K;FAUX;FAUX;Private;SUV;FAUX;0;13; Urban;01/01/2022;premium;500-599
217;1970;F;25K-50K;VRAI;FAUX;Private;Pickup;VRAI;2;6; Urban;01/03/2022;express;200-299
218;2017;F;50K-75K;FAUX;FAUX;Private;SUV;FAUX;8;19; Urban;01/04/2022;premium;400-499
219;1960;M;-25K;FAUX;FAUX;Private;Sports Car;FAUX;0;1; Urban;01/04/2022;premium;500-599
220;1953;M;25K-50K;VRAI;VRAI;Private;Minivan;FAUX;1;1; Rural;01/04/2022;integral;300-399
221;1950;M;100K-125K;VRAI;FAUX;Private;Sports Car;FAUX;0;16; Urban;01/01/2022;integral;300-399
222;1955;M;;VRAI;VRAI;Commercial;Pickup;FAUX;0;18; Rural;01/05/2022;integral;300-399
223;1993;F;75K-100K;FAUX;FAUX;Private;SUV;FAUX;4;3; Urban;01/01/2022;premium;500-599
224;2019;F;100K-125K;VRAI;FAUX;Commercial;SUV;FAUX;5;5; Urban;01/01/2022;integral;300-399
225;1940;F;25K-50K;FAUX;FAUX;Commercial;Minivan;FAUX;0;1; Urban;01/05/2022;integral;300-399
226;1968;M;125K-150K;FAUX;FAUX;Private;Minivan;FAUX;4;10; Urban;01/05/2022;express;200-299
227;1958;F;25K-50K;FAUX;FAUX;Private;SUV;FAUX;3;9; Urban;01/03/2022;integral;300-399
228;1997;M;25K-50K;VRAI;FAUX;Private;SUV;FAUX;0;3; Rural;01/02/2022;premium;400-499
229;1954;F;-25K;FAUX;FAUX;Private;Minivan;VRAI;0;1; Urban;01/03/2022;premium;300-399
230;1941;F;25K-50K;FAUX;FAUX;Private;Pickup;VRAI;5;1; Urban;01/01/2022;express;200-299
231;1997;F;50K-75K;FAUX;FAUX;Private;SUV;FAUX;3;; Urban;01/05/2022;express;200-299
232;2020;M;50K-75K;VRAI;VRAI;Private;Minivan;VRAI;0;7; Urban;01/05/2022;express;200-299
233;1992;F;75K-100K;FAUX;FAUX;Private;Minivan;VRAI;3;; Urban;01/01/2022;express;200-299
234;1980;F;50K-75K;FAUX;FAUX;Commercial;SUV;FAUX;2;10; Urban;01/01/2022;express;200-299
235;1956;F;-25K;VRAI;FAUX;Private;SUV;FAUX;2;7; Rural;01/04/2022;integral;300-399
236;1955;M;25K-50K;FAUX;FAUX;Private;Pickup;FAUX;0;16; Urban;01/03/2022;integral;200-299
237;1986;F;175K-200K;FAUX;FAUX;Commercial;Panel Truck;FAUX;0;15; Urban;01/03/2022;premium;500-599
238;1957;F;175K-200K;FAUX;FAUX;Private;SUV;FAUX;0;15; Urban;01/03/2022;integral;200-299
239;1951;M;25K-50K;VRAI;FAUX;Private;SUV;FAUX;5;1; Urban;01/05/2022;integral;200-299
240;1954;F;75K-100K;FAUX;FAUX;Private;Minivan;VRAI;3;10; Urban;01/02/2022;integral;300-399
